doc_title,id,is_gold,label,reliability,type
,0408,,MONEY,0.8,Entity
,1 billboard,,MONEY,0.8,Entity
,1 october,,NOUN_PHRASE,0.8,Concept
,1 october 2007,,DATE,0.8,Entity
,10 9,,WORK_OF_ART,0.8,Entity
,10 march 1981,,DATE,0.8,Entity
,10 years,,DATE,0.8,Entity
,101 ranch oil company,,101 Ranch Oil Company,0.8,Document
,1071238 passengers,,NOUN_PHRASE,0.8,Concept
,11,,MONEY,0.8,Entity
,11 september,,DATE,0.8,Entity
,12 december 2016,,DATE,0.8,Entity
,12 men,,NOUN_PHRASE,0.8,Concept
,12 years old,,DATE,0.8,Entity
,12yearold,,DATE,0.8,Entity
,13 february,,NOUN_PHRASE,0.8,Concept
,13 february 2015,,DATE,0.8,Entity
,14,,MONEY,0.8,Entity
,14 september,,NOUN_PHRASE,0.8,Concept
,14 september 1914,,DATE,0.8,Entity
,147 songs,,NOUN_PHRASE,0.8,Concept
,15 august,,NOUN_PHRASE,0.8,Concept
,15 august 1843,,DATE,0.8,Entity
,15 two years,,DATE,0.8,Entity
,1527,,DATE,0.8,Entity
,1544,,DATE,0.8,Entity
,160 km2,,NOUN_PHRASE,0.8,Concept
,1664,,DATE,0.8,Entity
,17 november 1973,,DATE,0.8,Entity
,172 mi,,NOUN_PHRASE,0.8,Concept
,1750,,DATE,0.8,Entity
,1756,,DATE,0.8,Entity
,1780,,DATE,0.8,Entity
,18 august 1967,,DATE,0.8,Entity
,18 may 1980,,DATE,0.8,Entity
,1824,,DATE,0.8,Entity
,1834,,DATE,0.8,Entity
,1836,,DATE,0.8,Entity
,1840 students,,NOUN_PHRASE,0.8,Concept
,1850,,DATE,0.8,Entity
,1873,,DATE,0.8,Entity
,1882,,DATE,0.8,Entity
,1887,,DATE,0.8,Entity
,1892,,DATE,0.8,Entity
,1899,,DATE,0.8,Entity
,19 january 1966,,DATE,0.8,Entity
,1901,,DATE,0.8,Entity
,1906,,DATE,0.8,Entity
,1908,,DATE,0.8,Entity
,1911,,DATE,0.8,Entity
,1914,,DATE,0.8,Entity
,1915,,DATE,0.8,Entity
,1918,,DATE,0.8,Entity
,1919,,DATE,0.8,Entity
,1920,,DATE,0.8,Entity
,1924,,DATE,0.8,Entity
,1925,,DATE,0.8,Entity
,1927,,DATE,0.8,Entity
,1928,,DATE,0.8,Entity
,1929,,DATE,0.8,Entity
,1931,,DATE,0.8,Entity
,1935,,DATE,0.8,Entity
,1936,,DATE,0.8,Entity
,1937,,DATE,0.8,Entity
,1938,,DATE,0.8,Entity
,1940,,DATE,0.8,Entity
,194243,,DATE,0.8,Entity
,1943,,DATE,0.8,Entity
,1945,,DATE,0.8,Entity
,1946,,DATE,0.8,Entity
,1948,,DATE,0.8,Entity
,1949,,DATE,0.8,Entity
,1950,,DATE,0.8,Entity
,1951,,DATE,0.8,Entity
,1952,,DATE,0.8,Entity
,1953,,DATE,0.8,Entity
,1954,,DATE,0.8,Entity
,1955,,DATE,0.8,Entity
,1956,,DATE,0.8,Entity
,1957,,DATE,0.8,Entity
,1958,,DATE,0.8,Entity
,1959,,DATE,0.8,Entity
,1960,,DATE,0.8,Entity
,1961,,DATE,0.8,Entity
,1962,,DATE,0.8,Entity
,1962present,,NOUN_PHRASE,0.8,Concept
,1963,,DATE,0.8,Entity
,1963 to 1965,,DATE,0.8,Entity
,196308 1963,,DATE,0.8,Entity
,1964,,DATE,0.8,Entity
,1965,,DATE,0.8,Entity
,1966,,DATE,0.8,Entity
,1967,,DATE,0.8,Entity
,1969,,DATE,0.8,Entity
,1970,,DATE,0.8,Entity
,1970s,,DATE,0.8,Entity
,1970sstyle funk music,,NOUN_PHRASE,0.8,Concept
,1971,,DATE,0.8,Entity
,1972,,DATE,0.8,Entity
,1973,,DATE,0.8,Entity
,1974,,DATE,0.8,Entity
,1975,,DATE,0.8,Entity
,1976,,DATE,0.8,Entity
,1976 to 1978,,DATE,0.8,Entity
,1977,,DATE,0.8,Entity
,1978,,DATE,0.8,Entity
,1978 1966,,DATE,0.8,Entity
,197892,,NOUN_PHRASE,0.8,Concept
,197892united states,,ORG,0.8,Entity
,1979,,DATE,0.8,Entity
,1980,,DATE,0.8,Entity
,1980s,,DATE,0.8,Entity
,1981,,DATE,0.8,Entity
,1982,,DATE,0.8,Entity
,1982 to 2009,,DATE,0.8,Entity
,1983,,DATE,0.8,Entity
,1984,,DATE,0.8,Entity
,1985,,DATE,0.8,Entity
,1986,,DATE,0.8,Entity
,1988,,DATE,0.8,Entity
,19881990,,DATE,0.8,Entity
,1989,,DATE,0.8,Entity
,1991,,DATE,0.8,Entity
,1991 to 1994,,DATE,0.8,Entity
,1992,,DATE,0.8,Entity
,1992 us open mens singles,,1992 US Open – Men's Singles,0.8,Document
,199294,,NOUN_PHRASE,0.8,Concept
,1993,,DATE,0.8,Entity
,1994,,DATE,0.8,Entity
,1995,,DATE,0.8,Entity
,1995 to 2004,,DATE,0.8,Entity
,1996,,DATE,0.8,Entity
,1997,,DATE,0.8,Entity
,19971999,,DATE,0.8,Entity
,19972002,,DATE,0.8,Entity
,1998,,DATE,0.8,Entity
,1999,,DATE,0.8,Entity
,19992006,,DATE,0.8,Entity
,2 june 1990,,DATE,0.8,Entity
,2 october,,NOUN_PHRASE,0.8,Concept
,2 october 1995,,DATE,0.8,Entity
,2000,,DATE,0.8,Entity
,20000 watt rsl,,"20,000 Watt R.S.L.",0.8,Document
,2001,,DATE,0.8,Entity
,2002,,DATE,0.8,Entity
,2003,,DATE,0.8,Entity
,2004,,DATE,0.8,Entity
,2005,,DATE,0.8,Entity
,2006,,DATE,0.8,Entity
,2007,,DATE,0.8,Entity
,2008,,DATE,0.8,Entity
,20082009 school year,,DATE,0.8,Entity
,2009,,DATE,0.8,Entity
,2009 heineken open,,2009 Heineken Open,0.8,Document
