count,dst,relation,src,weight
1,sent_1c1ddb9479fb,CONTAINS,101 ranch oil company,1.0
1,sent_b6699d405967,CONTAINS,101 ranch oil company,1.0
1,bishop international airport,USE,1071238 passengers,1.0
1,sent_328235658ec9,CONTAINS,1992 us open mens singles,1.0
1,sent_9f9ee23ce5d0,CONTAINS,1992 us open mens singles,1.0
1,sent_1950f177be45,CONTAINS,20000 watt rsl,1.0
1,sent_d7e11ade9f2c,CONTAINS,20000 watt rsl,1.0
1,sent_1a41f6e61a05,CONTAINS,2009 heineken open,1.0
1,sent_51c092c38cd4,CONTAINS,2009 us open mens singles,1.0
1,sent_67ed6c68f66c,CONTAINS,2009 us open mens singles,1.0
1,sent_1640c13b2e3b,CONTAINS,2010 challenger dcns de cherbourg doubles,1.0
1,sent_bfd2c9761c80,CONTAINS,2010 challenger dcns de cherbourg doubles,1.0
1,sent_32b7eeca06c8,CONTAINS,2010 tean international mens doubles,1.0
1,sent_8c9897a92433,CONTAINS,2010 tean international mens doubles,1.0
1,sent_2cf29aae48dd,CONTAINS,2010 us open mens singles,1.0
1,sent_c2a94c644014,CONTAINS,2010 us open mens singles,1.0
1,sent_6005a2d9e9d2,CONTAINS,2011 bnp paribas primrose bordeaux doubles,1.0
1,sent_e719a19a8b05,CONTAINS,2012 trophee des alpilles doubles,1.0
1,sent_746fbdf57352,CONTAINS,2012 wimbledon championships mens doubles,1.0
1,sent_ab6b925db1a6,CONTAINS,2012 wimbledon championships mens doubles,1.0
1,sent_ba5ce2040604,CONTAINS,2012 wimbledon championships mens doubles,1.0
1,sent_f005ff375cbb,CONTAINS,2012 wimbledon championships mens doubles,1.0
1,sent_28cb1758155e,CONTAINS,2013 abn amro world tennis tournament,1.0
1,sent_5bfdd653b600,CONTAINS,2013 bh telecom indoors doubles,1.0
1,sent_8b0f0ea73162,CONTAINS,2013 bh telecom indoors doubles,1.0
1,sent_5bfdd653b600,CONTAINS,2013 rai open doubles,1.0
1,sent_8b0f0ea73162,CONTAINS,2013 rai open doubles,1.0
1,sent_3ab56f30e268,CONTAINS,2013 wimbledon championships mens doubles,1.0
1,sent_bfc12a13cdc1,CONTAINS,2013 wimbledon championships mens doubles,1.0
1,sent_503fdc29bf01,CONTAINS,2014 hall of fame tennis championships doubles,1.0
1,sent_0b08d809b556,CONTAINS,2015 cis university cup,1.0
